ID,Type,Timestamp,Age,Age Group,Cohort,Attend,Attend Group,Gender,1A,1B,1C,1D,1E,1F,1G,1H,2,3,4,5,6,7,8,9
15,Online,2020/10/20 7:30:27 PM EST,54,5,Gen X,0.92,1,F,2,2,2,2,1,1,1,1,"I am amazed at the genuine care and concern I have seen in Bill, Dwight and Mindy for everyone in this church. It is truly a blessing!","I think it's hard to know because of Covid but for us, the people at Huber outsell all the bells and whistles that many other larger churches offer. ",a;c;d,a;b;f,b;c,"Hopefully back to normal!😊 I'd love to see growth in the kids/youth/young adult areas. Overall growth would be good but not at the expense of losing the community, pastoral care and teaching of Biblical truths.  I'd love to see a series on discipleship for all ages and opportunities to go out and practice what we've learned. I'd also love to see an all church mentorship program (from seniors to kids) where each generation one on one mentors another in growing in our faith and reaching our fullest potential for Christ. ","Yes! Once again, because of the friendliness of the members, the genuine care of the pastors, the teaching of God's word and the music.","Honestly, we love Dwight. Coming from a large church, it is so refreshing to hear real, not perfect but loaded with scripture sermons from someone who genuinely cares about the people. In addition, his lifestyle reflects his relationship with Christ. It seems that this is a given for a Church of God pastor but unfortunately it isn't always the case. I think my biggest vote for him comes because my youngest is extra excited to come when she knows Dwight is preaching. He's extremely relatable to the younger generations. She sees him as real, genuinely caring about her and encouraging her to keep digging deeper and that to me is priceless! My prayers are with you all as you seek God's will in this! Thanks for your time!"
16,Online,2020/10/20 9:12:11 PM EST,68,7,Boomer,30,8,F,1,1,1,3,2,2,2,2,Small groups,More familiar worship songs.    Testimonies.,a;b;g,c;g;h,a;c;e,"Deeper spirituality,   More families.    Deeper commitments","Yes, we are kind, loving and supportive ",Deep biblical sermons that teach and challenge
17,Online,2020/10/21 10:05:42 AM EST,68,7,Boomer,30,8,F,1,1,1,3,2,2,2,2,Small groups,More familiar worship songs.    Testimonies.,a;b;g,c;g;h,a;c;e,"Deeper spirituality,   More families.    Deeper commitments","Yes, we are kind, loving and supportive ",Deep biblical sermons that teach and challenge
18,Online,2020/10/21 10:35:47 AM EST,54,5,Gen X,30,8,M,1,1,1,2,5,1,2,1,heart felt warmth of the community,they are more outreach and mission driven,h,a;b;f,c;d,doing more outreach and impacting families with the love of Christ,Yes. Because I love my church,"Whoever the committee decide to be our next pastor. Please make sure the individual is driven to move our church forward in reaching the next generation but most importantly, not forgetting our elderly, who are the heritage of our church."
19,Online,2020/10/21 3:00:18 PM EST,81,8,Silent Gen,15,6,F,2,2,2,5,2,2,1,5,,singing hymns,a;b;g,g,a;d,I hope we will have grown in numbers and more caring for each other,yes I feel the the Lords word is taught here and the members are loving,I I want Weds and Sunday eve services and an experienced pastor
20,Online,2020/10/22 5:23:35 PM EST,68,7,Boomer,30,8,F,1,1,1,3,2,2,2,2,Small groups,More familiar worship songs.    Testimonies.,a;b;g,c;g;h,a;c;e,"Deeper spirituality,   More families.    Deeper commitments","Yes, we are kind, loving and supportive ",Deep biblical sermons that teach and challenge
21,Online,2020/10/22 10:03:55 PM EST,25,3,Millenial,0.83,1,M,5,3,2,5,5,5,2,2,It’s a smaller group of people,Haven’t visited other churches,g,b,a;b,I’m not sure,"Yes, I think my friend would also like the smaller group of people",N/A
22,Online,2020/10/22 10:54:02 PM EST,25,3,Millenial,0.92,1,F,2,2,1,1,1,1,1,1,"I really love how caring the staff has been. I have never really felt invested in by a pastor the way I have with Dwight and Mindy (and Bill too!). They are so genuine and I never feel like they are just putting on a face. I love that the Bible is preached and that people in leadership are living lives that reflect Jesus. I also love the upbeat, current music! ","It is hard to compare other churches because most of the ones I have been to have been larger - but most of the things are just surface/flashy things like stage lighting, decor, and stuff like that. The core of this church is just awesome so I really can't see anything that needs to be added! The people make Huber shine and stand out from the rest. ",a;c;d;g,a;b;c,b;c,"I would love to have a thriving children's, youth and young adult's ministry (what we have now is great but I would love to see it grow and be able to reach more kids!) - small groups for people to get plugged in, and would really emphasize growth and accountability! People pouring into others and discipleship - sermons continuing to be based solely on the word and how we can apply it to our lives - continue to have great current music - maybe even an updated sanctuary to be more attractive to younger generations (but that is just extra) and if I may be so bold, I would love for Dwight to be the lead pastor! ","Yes I would! I think there is a great community, great leaders, awesome worship and the teaching is always straight from the word. ","I think you guys have been doing such a great job and I am excited to see who you find to be our pastor! This church is such a wonderful place and I feel a lot of it is the people who are a part of it. But definitely consider Dwight! He is such a great leader and so genuine. I think he would do such a great job! He is a living example of who we are called to be - he isn't perfect yet he is striving to live a godly life. God is using him to show us He doesn't want perfect, He just wants us to be who He created and called us to be. I think that Christians feel they have to appear perfect all the time, so having a lead pastor that shows its okay not to be perfection is so refreshing!  I would take a personable loving pastor over a well spoken preacher any day! Thank you all for all of the time you are devoting to this search! I have been and will be praying for you as you search for the best candidates! I know you will pick/find someone perfect for us. Have a great day!"
23,Online,2020/10/23 10:22:55 AM EST,80,8,Silent Gen,4,3,M,4,4,4,4,2,2,4,4,Nothing different than at other churches i have been a part of.,The songs.  I prefer some of the older songs be sung from time to time.,g,b;f;g,d;h,This depends on the Pastor that is chosen.  I really like they way Pastor Dwight delivers the message.,Depends on the pastor that is chosen.,I would put Pastor Dwight in first place. He knows the church.  Get an assistant pastor to help him that can minister to the young people also.
24,Online,2020/10/23 11:51:43 AM EST,25,3,Millenial,0.83,1,M,5,3,2,5,5,5,2,2,It’s a smaller group of people,Haven’t visited other churches,g,b,a;b,I’m not sure,"Yes, I think my friend would also like the smaller group of people",N/A
25,Online,2020/10/23 6:43:05 PM EST,46,5,Gen X,5,4,M,1,1,1,1,1,1,1,1,N/A,N/A,e,b,b;h,About the same.,Yes.,N/A
26,Online,2020/10/25 6:06:59 PM EST,65,7,Boomer,12,5,F,1,1,2,2,2,1,1,1,The closeness of the congregation,More groups classes and church programs,a,a;b;c,a;h,large congregation and more active members within the church,"Yes, because of the love within the congregation",I would love to see Pastor Dwight become the next pastor.
27,Online,2020/10/25 6:23:14 PM EST,49,5,Gen X,5,4,F,1,2,2,5,1,1,1,1,I feel like the same people are always in charge they don't give opportunities to others to help or bring new fresh ideas when is about to take decisions is always the same people is why I feel a lot of people have gone to other church where they can participate more.,For example visit the people in need no just the pastor going to the hospital also other groups pray in the homes.,a;b;c,a;c;f,a;h,"Would like to see a bigger congregation ,  I feel like everyone is looking for new church and don't understand why.",I am not sure if I would recommend this church.,"I would like Pastor Dwight will be our Pastor, he is knows better than nobody else the church and the people I think the committee should look for a youth pastor not for a Senior Pastor, I think he is the best for our church.  Why to bring a stranger to our church when we already have the best of the best , he is the one."
28,Online,2020/10/27 2:44:50 PM EST,59,6,Boomer,42,8,F,5,5,2,3,2,2,5,2,relationships with people I have know a long time,sense of one purpose,b;g;h,b;c;h;i,c;e,If the new pastor can bring unity I think we will a booming church,Not currently,"It is important to understand what everyone ""needs"".  It is also good to remember that we cannot be all things to all people.  Keep before you what God wants for this church.  Perhaps that isn't the same as what the current congregation wants."
29,Online,2020/10/28 2:01:09 PM EST,57,6,Gen X,50,9,F,1,1,1,2,2,1,1,2,"Being here most of my life, I have limited exposure to other churches. That said I appreciate the generosity of people. They are generous with their kindness, prayer support, finances, time and talents. This church has always had a priority of preaching God’s word. We strive to stay in line with God’s teaching and His will. This body of believers has a strong foundation. We don’t get caught up in compromising the Word to try and “fit in”  so as to attract people to us. We try to focus on God so that they will be attracted to Him. ",Some hospitality features such as a manned hospitality station for information gathering and dissemination. We know we need to and we want to grow our Life Group ministry. We just need a champion and momentum in this direction. We know we need to and we want to grow our Outreach/Mission ministry. We just need a champion and momentum in this direction.,a,b;f;g,c,"A strong presence, identity in the community. Known for a place to belong, a place to come to with one’s needs. Growing thru evangelism. Discipling new converts. Training up leaders. Running outreach/missions full tilt without limitations of resources. ",Yes. I think it is a solid church in terms of preaching the word and ministering to others. The people here will love and support new comers.,Seek and know the will of God for whom He is calling to us. This first and foremost. God knows us best and knows what is best for us better than we can ever surmise.
30,Online,2020/10/28 3:54:17 PM EST,64,6,Boomer,15,6,F,2,5,1,2,1,1,1,2,There are many people in our congregation who are willing to have the difficult conversations that lead to better understanding of and growth in God's word.,"Fewer songs, more prayer and sharing testimony.",a,a;b;c,f;h,Having a much larger congregation with more young families; being an anchor in the Huber Heights community.,"Yes, because I believe in our mission and in our future.","Our next pastor should have the support of a spouse who is willing to also be part of ministering to our church and to our community. This pastor should have a special gift for connecting with people of all ages, and be willing/able to draw younger families to HHCOG."
31,Online,2020/10/28 4:10:40 PM EST,65,7,Boomer,40,8,M,2,2,1,2,1,1,1,1,A sense of family.,More sharing about outreach and what's going on with missions and individuals. More opportunities for informal and fun fellowships.,a,a;b;i,b;h,Doubled in size of congregation. With more established community outreach programs. Expanded programs for children and young families.,"Yes, because I think this church has a family feel that I expect to only get better.",We  already have a great choice in Dwight Bruggeman (and his family).
32,Online,2020/10/29 4:47:50 PM EST,50,5,Gen X,5,4,M,5,3,3,3,5,3,5,4,Nothing unique about our church,"Energy during worship, true community outreach",b;e,c;f;h,e,Very small attendance,No.  More energy somewhere else.,
33,Online,2020/10/30 12:25:19 PM EST,63,6,Boomer,2,2,F,2,2,1,2,1,1,1,1,I live in Cincinnati so M unable to attend Sunday services regularly.,I was raised Catholic and love what both The catholic church and the church of God have to offer!,g,c;f;i,f;d,Close knit and active,"Yes, to suggest getting involved.","Dwight Bruggleman to be the pastor ! He has many gifts that the church can use to become a more vibrant, compassionate, caring church!"
34,Online,2020/10/31 4:15:16 PM EST,-1,0,None,-1,0,O,3,4,4,4,3,5,5,4,,,n,n,n,,,"Three times we have asked a pastor to pray over someone in our family.  The first time they agreed, then when Sunday came they forgot.  The second and third time we asked, we never got a response back.  This past week a pastor posted on Facebook James 5:14.  We did this, and it didn't happen."
35,Online,2020/10/31 4:24:54 PM EST,52,5,Gen X,6,4,M,0,4,4,3,4,4,5,4,The spirit,The spirit,a;b;e,b;f;g;e,b;d,Closed,NO!!! Don't have anything to offer the men. Don't seem to have very much for the youth.,Age 35-45 and have a family with some kids still at home.
36,Online,2020/11/01 5:04:24 PM EST,-1,0,None,6,4,F,5,5,2,5,5,3,3,5,,more active in the community and more activities for youth,e,a;b;f,b;c;d,Still,no nothing for the youth to do and no outreach in the community,
37,Online,2020/11/02 1:38:07 PM EST,62,6,Boomer,5,4,F,1,1,1,1,2,1,1,1,That people genuinely care about one another and always willing to help,I haven't found anything at other churches that I like better than HHCG,a;c;d,b;g;i,a;c,"All aspects of our church have grown, ie small groups, youth, children ministry","Yes, This church is very friendly to new people making them feel wanted",To find a minister that is down to earth and preaches directly from the bible
38,Online,2020/11/02 1:38:42 PM EST,50,5,Gen X,14,5,F,1,3,5,3,3,3,5,5,Unsure,Options for small or life groups. Good communication about the life of the church. ,g,g;h;i,c;h,Filled with more people of all ages. Excitement and positive attitudes. ,Not really.,Age of a pastor does not always matter. An older pastor can grow the church and reach young families. A younger pastor can minister to the elderly. Let's not leave the elderly behind. 
39,Online,2020/11/02 2:14:02 PM EST,27,3,Millenial,20,7,M,2,2,1,3,2,3,3,3,"I appreciate the prayerfulness of this church. I also like that this church feels like one big family. Just like any family, there are disagreements and divisions. But at the end of the day, I feel like the members of this church can put those aside and still love each other.","I have liked other churches that have very cutting edge and engaging worship services, and it is something I feel we are still lacking in. Other successful churches I have been to have had really impactful, forward-thinking pastors with action-oriented messages. That is never something we have had here that I would love to see.",h,a;b;h,c;h,"In five years I would like to see this church flip its focus from prioritizing the wants of the people regularly in the pews to prioritizing the people that have yet to visit us and focus on the new faces that do come in our doors. There should be a clear and established pathway for new people to fit into the mold and get involved with the church. I'd like to see the church establish and communicate a solid vision and tangible goals to the congregation. In five years, we can easily establish core pillars of faith and communicate what it means to be a part of the HHCOG community. Relationship building and deeper spiritual development can certainly be tangible in our congregation over the next five years with the development of a strong adult small group program and discipleship programs.","No. Most of my friends look to get two things out of a church: modern contemporary worship service and a place to nourish deeper spiritual growth. Unfortunately, I cannot say we offer either at the moment.",Please do not be clouded by self-righteousness. Read Luke 18:9-14.
40,Online,2020/11/02 4:29:48 PM EST,71,7,Boomer,5,4,M,2,2,2,2,2,1,1,1,Comradery,Nothing,a;g,b;g;i,a;h,Continual growth in all aspects of the church,"Yes, the fellowship and following of the bible",Next preacher to use bible to preach to what happens in daily life
41,Online,2020/11/02 11:02:50 PM EST,35,4,Millenial,2,2,F,2,2,1,1,1,2,2,1,The outreach ministry,"An altar call at the end of the service for those who need to give their life to Jesus. Also I feel that the pastor needs to give messages about the times we are living in and prepare the people for the return of Jesus. The people need to know that we are living in the end of the end days and that Jesus is coming back for His bride SOON.  They need to know that they need to repent for the Kingdom of Heaven is at hand. He is coming for a bride who is without spot, wrinkle or blemish.  I want a pastor who is on FIRE for the Lord and who preaches repentance!!",a;b;c,b;f;h,c;h,"It would be wonderful if there is a pastor who is a strong leader with a passion for God who wants to see people grow in Christ. I pray it will be someone who stands on faith and God's word alone and does not conform to what the world wants.  I would also love to see our outreach ministries resume again with feeding the hungry and visiting the sick, and reaching the youth and the lost for Christ. ","If we're talking about before the fake plandemic, then yes I would.  But if we're talking about now, then unfortunately no not in it's current state. I used to recommend it but sadly not anymore.  I pray that God removes the scales from people's eyes and they see the truth and the truth sets them free. Sadly, as I see it right now this church is dying and some would say it is already a dead church with dry bones in need of revival. I pray daily for this church and for the congregation and it is my hope that it comes back to life with the fire of the Holy Spirit.  ","Please try to find someone who can lead the youth. We really need a youth director who can lead them to Christ and teach them, not to play games, but to actually learn about Christ and how to have a relationship with him. There needs to be Sunday School for the youth also where they have lessons and learn, not hang out and sit around, but to learn and be taught from the Bible. "
42,Online,2020/11/04 6:38:07 PM EST,67,7,Boomer,10,5,M,2,2,1,3,2,2,5,4,Family attends,More traditional music,g,b;c;h,g;c,At same level unless leadership provides motivational direction,Possibly but it would be limited based on worship format,I'm praying for you
43,Online,2020/11/04 6:59:20 PM EST,46,5,Gen X,12,5,M,1,1,2,5,5,2,2,2,A tolerance for differing doctrinal beliefs,A large youth group,g,c;h;i,c;h,Growing community of faithful people of all ages,With caution if they have children because of the lack of a vibrant youth group.,The importance of the healthy growth of a kingdom building community
44,Online,2020/11/05 4:07:58 PM EST,56,6,Gen X,33,8,F,1,1,1,0,2,2,1,1,,,a;h,b;c;f,c;h,Full of young families with lots of children,,Someone who can attract young families but also minister to the more mature believers
45,Online,2020/11/05 5:50:10 PM EST,57,6,Gen X,33,8,M,1,2,1,2,5,2,5,2,"I think you are asking, what aspect do I like at this church that I didn't find at other churches.  (Why did I choose to attend this church?)  If that is the question - when we started attending there was a thriving young adults/young married group of strong Christians that was a great draw.  We looked forward to seeing all our friends and sharing life with other believers.  We haven't visited too many other churches since starting to attend.",Genuine community outreach,d,b;c;f,b;d,"With a new pastor, I am hoping to see significant growth in the young family segment.",Yes.  I think we have a lot to offer once we are opened back up again with a new pastor and a focus on building our church community and outreach.,"I would like to see a plan for personal commitment (small groups?) and to get back to a ""church family"" atmosphere that was so evident many years ago, i.e. a sense of belonging and genuine concern for others through normal daily interactions and a blending of all age groups.  "
46,Online,2020/11/07 6:29:51 PM EST,59,6,Boomer,29,7,M,3,3,2,5,5,3,3,5,It is familiar.,They teach the gospel.  Not this is warm and fuzzy stuff.,h,c;h;i,f;c;h,There is a revival coming.  Our church is NOT ready for it.,Not really.  The core beliefs are not taught or preached.,Someone who is not afraid of being political incorrect.  Someone who called a spade a spade and without any apologies.
47,Paper,2020/11/14,67,7,Boomer,-1,0,F,1,1,1,3,2,1,2,2,,,a;g;h,d;g;h,b;h,,,
48,Paper,2020/11/14,80,8,Silent Gen,10,5,M,2,2,2,2,2,2,2,2,,,g,n,c;f,,,
49,Paper,2020/11/14,45,5,Gen X,3.5,3,F,1,1,2,2,1,2,1,1,,,a;b;c,b;f,c;d;f,,,
50,Paper,2020/11/14,55,6,Gen X,-1,0,F,2,2,1,2,2,2,1,1,,,b;d;g;h,n,f;h,,,
51,Paper,2020/11/14,75,7,Boomer,27,7,F,1,1,1,1,2,1,1,2,,,b,b;d;f,a;h,,,
52,Paper,2020/11/14,73,7,Boomer,4,3,F,2,2,1,3,1,2,1,1,,,a;b;f,a;b;i,b;h,,,
53,Paper,2020/11/14,85,8,Silent Gen,53,9,F,1,1,2,2,2,1,2,2,,,f,f;g;h,g;h,,,
54,Paper,2020/11/14,93,8,Silent Gen,20,7,F,2,1,2,2,2,2,2,3,,,b,a;d,h,,,
55,Paper,2020/11/14,88,8,Silent Gen,15,6,M,1,2,2,2,1,2,1,2,,,e,b;i,b;f,,,
56,Paper,2020/11/14,75,7,Boomer,18,6,F,2,2,2,2,2,2,2,2,,,b;c;d;f;g,e,d;f,,,
57,Paper,2020/11/14,71,7,Boomer,-1,0,M,1,1,1,1,1,2,1,1,,,h,a;b;i,b;g,,,
58,Paper,2020/11/14,76,7,Boomer,-1,0,M,2,2,2,2,2,2,2,2,,,n,a;b;i,c;d,,,
59,Paper,2020/11/14,70,7,Boomer,-1,0,M,2,2,2,2,2,2,2,2,,,a;b,b,a;h,,,
60,Paper,2020/11/14,68,7,Boomer,2,2,M,1,2,1,2,1,3,1,1,,,d,b,c;d,,,
61,Paper,2020/11/14,68,7,Boomer,3.5,3,M,1,1,1,2,2,1,2,1,,,a;b,f,d;h,,,
62,Paper,2020/11/14,57,6,Gen X,29,7,M,1,2,2,2,2,2,2,2,,,n,b;d;f;,b;c,,,
63,Paper,2020/11/14,72,7,Boomer,-1,0,M,3,3,2,3,3,2,2,3,,,n,a;f;h,c;h,,,
64,Paper,2020/11/14,42,4,Gen X,35,8,M,4,4,3,3,3,3,4,4,,,a,d;f;h,h,,,
65,Paper,2020/11/14,-1,0,None,-1,0,O,2,2,2,2,2,2,2,2,,,f;h,d;f;h,c;h,,,
66,Paper,2020/11/14,87,8,Silent Gen,29.5,7,F,4,4,4,4,4,4,4,4,,,a;b;c;f,n,d;f;h,,,
67,Paper,2020/11/14,84,8,Silent Gen,25,7,F,2,1,1,1,2,0,2,3,,,a,g,a;h,,,
68,Paper,2020/11/14,86,8,Silent Gen,21,7,F,1,1,2,2,2,1,1,1,,,a;b;c,a;f,b;h,,,
69,Paper,2020/11/14,67,7,Boomer,10,5,F,1,1,1,2,2,2,2,3,,,a,b;f;h,g;h,,,
70,Paper,2020/11/14,71,7,Boomer,30,8,F,1,1,1,2,2,2,1,2,,,g,a;b;g,f;h,,,
71,Paper,2020/11/14,12,1,Zoomer,12,5,F,2,2,1,2,1,2,2,2,,,a,a;b;h,f;g;h,,,
72,Paper,2020/11/14,46,5,Gen X,-1,0,F,1,1,0,2,1,1,1,1,,,a;d;f;g,b;c,n,,,
